rssi,rsrp,rsrq,rssnr,mPci,mEarfcn,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq,epoch
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079521.722882
-53,-86,-10,24,423,66536,423,-55,-82,-9,1688079522.000222
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079522.318697
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079522.616816
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079522.914862
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079523.212398
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079523.498744
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079523.788214
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079524.078022
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079524.361734
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079524.655469
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079524.940366
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079525.196493
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079525.476577
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079525.793117
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079526.094603
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079526.399103
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079526.704724
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079526.998087
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079527.289675
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079527.590798
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079527.879984
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079528.178305
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079528.478609
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079528.784734
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079529.076479
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079529.371440
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079529.680074
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079529.964252
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079530.206197
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079530.491060
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079530.806569
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079531.116820
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079531.410878
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079531.712957
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079532.013261
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079532.304464
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079532.593358
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079532.886883
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079533.146047
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079533.406815
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079533.653409
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079533.918765
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079534.172377
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079534.438345
-51,-76,-9,25,423,66536,423,-55,-82,-9,1688079534.728289
-51,-76,-9,25,423,66536,423,-53,-81,-8,1688079535.000577
-51,-76,-9,25,423,66536,423,-53,-81,-8,1688079535.264840
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079535.544026
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079535.847173
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079536.139731
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079536.424800
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079536.734223
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079537.030970
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079537.346676
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079537.652571
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079537.954922
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079538.252902
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079538.544030
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079538.831330
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079539.139252
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079539.432531
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079539.729319
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079539.998634
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079540.264906
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079540.560959
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079540.859275
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079541.172595
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079541.456436
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079541.705769
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079542.000883
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079542.255783
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079542.525978
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079542.830312
-53,-82,-8,24,423,66536,423,-53,-81,-8,1688079543.124312
