Pkt_no,Time,src,dst,length,ttl,Type,RTT,lat,lon,mPci,mEarfcn,rssi,rsrp,rsrq,rssnr,lteLevel,Cell_mPci,Cell_rssi,Cell_rsrp,Cell_rsrq
57,1685649864.262853000,142.250.72.164,10.215.173.1,132,64,0,40.168,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
58,1685649865.224149000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
59,1685649865.262933000,142.250.72.164,10.215.173.1,132,64,0,38.784,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
60,1685649866.225961000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
61,1685649866.263259000,142.250.72.164,10.215.173.1,132,64,0,37.298,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
62,1685649867.226806000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
63,1685649867.263135000,142.250.72.164,10.215.173.1,132,64,0,36.329,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
64,1685649868.228214000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
65,1685649868.273324000,142.250.72.164,10.215.173.1,132,64,0,45.11,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
66,1685649869.229994000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
67,1685649869.272962000,142.250.72.164,10.215.173.1,132,64,0,42.968,40.493834,-111.865850,423,66536,-51,-80,-10,23,5,423,-51,-76,-8
1,1685649911.342789000,142.250.72.164,10.215.173.1,132,64,0,,40.493834,-111.865850,423,66536,-51,-83,-10,20,5,423,-51,-76,-8
2,1685649912.299992000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,20,5,423,-51,-76,-8
3,1685649912.342749000,142.250.72.164,10.215.173.1,132,64,0,42.757,40.493834,-111.865850,423,66536,-51,-83,-10,20,5,423,-51,-76,-8
4,1685649913.301729000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-82,-11,22,5,423,-51,-76,-8
5,1685649913.341594000,142.250.72.164,10.215.173.1,132,64,0,39.865,40.493834,-111.865850,423,66536,-51,-82,-11,22,5,423,-51,-76,-8
6,1685649914.303676000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-82,-11,22,5,423,-51,-76,-8
7,1685649914.342752000,142.250.72.164,10.215.173.1,132,64,0,39.076,40.493834,-111.865850,423,66536,-51,-82,-11,22,5,423,-51,-76,-8
8,1685649915.304865000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
9,1685649915.343010000,142.250.72.164,10.215.173.1,132,64,0,38.145,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
10,1685649916.306063000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
11,1685649916.346048000,142.250.72.164,10.215.173.1,132,64,0,39.985,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
12,1685649917.309088000,10.215.173.1,142.250.72.164,132,64,8,,40.493834,-111.865850,423,66536,-51,-83,-10,21,5,423,-51,-76,-8
