Pkt_no,Time,src,dst,length,ttl,Type,RTT,Time,Loc,mVoiceRegState,mDataRegState,mChannelNumber,mPci,mEarfcn,mCellBandwidths,rssi,rsrp,rsrq,rssnr,lteLevel,rat,mPci,mEarfcn,rssi,rsrp,rsrq
37,1684945369.024323000,172.217.14.68,10.215.173.1,132,64,0,41.431,1684945369.958978,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
38,1684945369.983452000,10.215.173.1,172.217.14.68,132,64,8,,1684945370.255519,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
39,1684945370.024009000,172.217.14.68,10.215.173.1,132,64,0,40.557,1684945370.954699,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
40,1684945370.984020000,10.215.173.1,172.217.14.68,132,64,8,,1684945371.344435,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
41,1684945371.025325000,172.217.14.68,10.215.173.1,132,64,0,41.305,1684945371.8677561,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
42,1684945371.984206000,10.215.173.1,172.217.14.68,132,64,8,,1684945372.2540002,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
43,1684945372.024021000,172.217.14.68,10.215.173.1,132,64,0,39.815,1684945372.939671,"40.493982,-111.865876",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
44,1684945372.984575000,10.215.173.1,172.217.14.68,132,64,8,,1684945373.2671611,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
45,1684945373.029280000,172.217.14.68,10.215.173.1,132,64,0,44.705,1684945373.9907079,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
46,1684945373.985129000,10.215.173.1,172.217.14.68,132,64,8,,1684945374.2561269,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
47,1684945374.023491000,172.217.14.68,10.215.173.1,132,64,0,38.362,1684945374.875853,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
48,1684945374.985416000,10.215.173.1,172.217.14.68,132,64,8,,1684945375.183041,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
49,1684945375.023075000,172.217.14.68,10.215.173.1,132,64,0,37.659,1684945375.934186,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
50,1684945375.986120000,10.215.173.1,172.217.14.68,132,64,8,,1684945376.194376,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
51,1684945376.023206000,172.217.14.68,10.215.173.1,132,64,0,37.086,1684945376.893091,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
52,1684945376.986872000,10.215.173.1,172.217.14.68,132,64,8,,1684945377.17954,"40.493981,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
53,1684945377.023903000,172.217.14.68,10.215.173.1,132,64,0,37.031,1684945377.873441,"40.493981,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
54,1684945377.988113000,10.215.173.1,172.217.14.68,132,64,8,,1684945378.179279,"40.493981,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
55,1684945378.023922000,172.217.14.68,10.215.173.1,132,64,0,35.809,1684945378.891082,"40.493981,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
56,1684945378.989691000,10.215.173.1,172.217.14.68,132,64,8,,1684945379.168022,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
57,1684945379.043114000,172.217.14.68,10.215.173.1,132,64,0,53.423,1684945379.881876,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-9
58,1684945379.990717000,10.215.173.1,172.217.14.68,132,64,8,,1684945380.173352,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-10
59,1684945380.033170000,172.217.14.68,10.215.173.1,132,64,0,42.453,1684945380.8956668,"40.493982,-111.865875",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-10
60,1684945380.991141000,10.215.173.1,172.217.14.68,132,64,8,,1684945381.164948,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-10
61,1684945381.036277000,172.217.14.68,10.215.173.1,132,64,0,45.136,1684945381.919965,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-10
62,1684945381.991563000,10.215.173.1,172.217.14.68,132,64,8,,1684945382.206605,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-10
63,1684945382.033977000,172.217.14.68,10.215.173.1,132,64,0,42.414,1684945383.017465,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-10
64,1684945382.992892000,10.215.173.1,172.217.14.68,132,64,8,,1684945383.3365881,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-10
65,1684945383.033269000,172.217.14.68,10.215.173.1,132,64,0,40.377,1684945383.892473,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-10
66,1684945383.993441000,10.215.173.1,172.217.14.68,132,64,8,,1684945384.291142,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-53,-76,-10
67,1684945384.034101000,172.217.14.68,10.215.173.1,132,64,0,40.66,1684945384.992277,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
68,1684945384.993314000,10.215.173.1,172.217.14.68,132,64,8,,1684945385.388853,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
69,1684945385.034040000,172.217.14.68,10.215.173.1,132,64,0,40.726,1684945385.9138072,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
70,1684945385.993228000,10.215.173.1,172.217.14.68,132,64,8,,1684945386.31133,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
71,1684945386.032811000,172.217.14.68,10.215.173.1,132,64,0,39.583,1684945387.02168,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
72,1684945386.994283000,10.215.173.1,172.217.14.68,132,64,8,,1684945387.40847,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
73,1684945387.035290000,172.217.14.68,10.215.173.1,132,64,0,41.007,1684945387.948132,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
74,1684945387.994058000,10.215.173.1,172.217.14.68,132,64,8,,1684945388.251507,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
75,1684945388.033685000,172.217.14.68,10.215.173.1,132,64,0,39.627,1684945388.909049,"40.493981,-111.865874",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
76,1684945388.993993000,10.215.173.1,172.217.14.68,132,64,8,,1684945389.2388349,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-75,-9
77,1684945389.038143000,172.217.14.68,10.215.173.1,132,64,0,44.15,1684945389.988949,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-11
78,1684945389.995261000,10.215.173.1,172.217.14.68,132,64,8,,1684945390.292331,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-53,-77,-10,22,5,14,423,975,-51,-76,-11
79,1684945390.043058000,172.217.14.68,10.215.173.1,132,64,0,47.797,1684945391.005064,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-77,-10,23,5,14,423,975,-51,-76,-11
80,1684945390.994684000,10.215.173.1,172.217.14.68,132,64,8,,1684945391.310983,"40.493981,-111.865873",0,0,975,423,975,"[5000, 20000, 20000, 20000, 10000]",-51,-77,-10,23,5,14,423,975,-51,-76,-11
